,date,metric,theil_inequality,theil_bg_inequality,theil_wg_inequality
0,2019-12-02,avg_tt,0.012856775283275146,0.0006205267297185284,0.012236248553556617
1,2019-12-02,thr_15min_pois,0.1731460116331323,0.004461378922467667,0.16868463271066464
2,2019-12-02,avg_hops,0.02009807698822876,0.0010460620314942902,0.01905201495673447
3,2019-12-16,avg_tt,0.013094793028753757,0.0006270474780883661,0.01246774555066539
4,2019-12-16,thr_15min_pois,0.17860224562664806,0.004492596500223912,0.17410964912642415
5,2019-12-16,avg_hops,0.019948883660965346,0.0010441703117286573,0.018904713349236688
6,2019-04-15,avg_tt,0.012812234879520764,0.0005633068944096327,0.012248927985111131
7,2019-04-15,thr_15min_pois,0.18673926096419458,0.003468235580419997,0.18327102538377457
8,2019-04-15,avg_hops,0.019544761830271592,0.0010554569832054266,0.018489304847066165
9,2019-05-20,avg_tt,0.012475382969814946,0.000592200396879336,0.01188318257293561
10,2019-05-20,thr_15min_pois,0.180406331940302,0.0042519069513619265,0.17615442498894007
11,2019-05-20,avg_hops,0.019498981249016768,0.0009838430552325285,0.01851513819378424
12,2019-08-26,avg_tt,0.012770933159000384,0.0006211695848616222,0.012149763574138762
13,2019-08-26,thr_15min_pois,0.1723714187061812,0.0046786942085489044,0.16769272449763228
14,2019-08-26,avg_hops,0.01980160498756414,0.001049295896910954,0.018752309090653185
15,2019-02-25,avg_tt,0.013271255568261904,0.0006462224438359872,0.012625033124425917
16,2019-02-25,thr_15min_pois,0.1831766114312993,0.004347067085376702,0.17882954434592258
17,2019-02-25,avg_hops,0.01965888199087076,0.0010750055068245827,0.018583876484046177
18,2019-03-11,avg_tt,0.01281402334442208,0.0005635685741117794,0.0122504547703103
19,2019-03-11,thr_15min_pois,0.1867184641530652,0.003471066563584986,0.18324739758948022
20,2019-03-11,avg_hops,0.019551619000959513,0.0010572144372714837,0.01849440456368803
21,2019-10-07,avg_tt,0.012719653342696481,0.0006422133515406776,0.012077439991155804
22,2019-10-07,thr_15min_pois,0.1732629052903824,0.004721715845921889,0.1685411894444605
23,2019-10-07,avg_hops,0.019957568023602983,0.0010502380292057856,0.018907329994397197
24,2019-02-11,avg_tt,0.013259632301324603,0.0006440136671958183,0.012615618634128785
25,2019-02-11,thr_15min_pois,0.18400270908767313,0.00430316872149996,0.17969954036617317
26,2019-02-11,avg_hops,0.01963619253785699,0.0010743310100082351,0.018561861527848753
27,2019-10-28,avg_tt,0.012711642999682145,0.0006460342412318923,0.012065608758450252
28,2019-10-28,thr_15min_pois,0.1716204642059548,0.004608175282770868,0.16701228892318393
29,2019-10-28,avg_hops,0.019511742149588552,0.001053755839876571,0.01845798630971198
30,2019-06-03,avg_tt,0.0125293811932313,0.000595694510918128,0.011933686682313172
31,2019-06-03,thr_15min_pois,0.18077222723564046,0.0043627098843122755,0.17640951735132818
32,2019-06-03,avg_hops,0.01953738094887383,0.0009863239606004402,0.01855105698827339
33,2019-09-09,avg_tt,0.02363663469565044,9.235236192917887e-06,0.02362739945945752
34,2019-09-09,thr_15min_pois,0.10849655765873645,1.9441370699911555e-05,0.10847711628803654
35,2019-09-09,avg_hops,0.028928734275966324,0.00018816492987207972,0.028740569346094244
36,2019-08-05,avg_tt,0.012738229118179931,0.0005650740713880088,0.012173155046791923
37,2019-08-05,thr_15min_pois,0.1837113097206853,0.004659653443515023,0.1790516562771703
38,2019-08-05,avg_hops,0.01977463967808421,0.001016740310669017,0.018757899367415194
39,2019-09-02,avg_tt,0.012287775573812486,0.0006061494601119037,0.011681626113700582
40,2019-09-02,thr_15min_pois,0.16980927277755278,0.004407708696265597,0.1654015640812872
41,2019-09-02,avg_hops,0.01944950476659157,0.0010341164036756813,0.01841538836291589
42,2019-04-22,avg_tt,0.02034648739222241,0.00023946748456665085,0.02010701990765576
43,2019-04-22,thr_15min_pois,0.22070556199263539,0.0017524391224353515,0.21895312287020002
44,2019-04-22,avg_hops,0.02997556900881466,0.001202888626720848,0.028772680382093813
45,2019-05-27,avg_tt,0.012524034941707236,0.0005951869306425259,0.01192884801106471
46,2019-05-27,thr_15min_pois,0.18075055539059842,0.004360018679140265,0.17639053671145816
47,2019-05-27,avg_hops,0.019531489093999092,0.0009870913901105262,0.018544397703888566
48,2019-06-24,avg_tt,0.020299557865064103,5.8799087479965116e-05,0.020240758777584137
49,2019-06-24,thr_15min_pois,0.15150841091214814,0.00045533476620931643,0.15105307614593882
50,2019-06-24,avg_hops,0.029734002495229214,0.0006102787632812599,0.029123723731947954
51,2019-12-30,avg_tt,0.013062826735008734,0.0006404032127146943,0.01242242352229404
52,2019-12-30,thr_15min_pois,0.1779661313648487,0.004438039994872252,0.17352809136997646
53,2019-12-30,avg_hops,0.019694678622446404,0.0010697968493621167,0.018624881773084287
54,2019-01-07,avg_tt,0.01304386319826355,0.0006336339938179288,0.012410229204445622
55,2019-01-07,thr_15min_pois,0.18192168173971324,0.004162711582752457,0.1777589701569608
56,2019-01-07,avg_hops,0.01982286459104909,0.001079022097800697,0.018743842493248394
57,2019-07-01,avg_tt,0.012807500565106027,0.0005982477334762447,0.012209252831629783
58,2019-07-01,thr_15min_pois,0.18042437394756036,0.004505139815857581,0.1759192341317028
59,2019-07-01,avg_hops,0.02017117127266842,0.001009856060234883,0.019161315212433538
60,2019-09-23,avg_tt,0.012719231114174381,0.000642118489327978,0.012077112624846403
61,2019-09-23,thr_15min_pois,0.1732381323554198,0.004712317007307204,0.1685258153481126
62,2019-09-23,avg_hops,0.02000368371122338,0.0010535866209411202,0.01895009709028226
