,date,metric,slope,intercept,r_value,p_value,std_err
0,2019-12-02,avg_tt,-6.04136520002911,27.419180163959258,-0.2696691723337524,8.719842685629599e-09,1.0296191967386377
1,2019-12-02,thr_15min_pois,129.37071784288898,116.22621731719967,0.24763920405846168,1.3796503756715752e-07,24.156939600325003
2,2019-12-16,avg_tt,-6.166743994154403,27.53699769587296,-0.27249861874513354,6.003261513648056e-09,1.0392138475053483
3,2019-12-16,thr_15min_pois,133.35914722062165,114.55125095728951,0.2507022600022875,9.541597456052764e-08,24.57743064353392
4,2019-04-15,avg_tt,-5.625784910224959,27.229361554469953,-0.25362633956101205,6.679900879658149e-08,1.0240442336983233
5,2019-04-15,thr_15min_pois,110.80569771757777,122.1894300704034,0.2073101188286988,1.1391133977761319e-05,24.955737542123227
6,2019-05-20,avg_tt,-5.8168761693536695,27.30747665593504,-0.2628486355951617,2.107021444189527e-08,1.0190742265518218
7,2019-05-20,thr_15min_pois,125.5188015486762,116.86578734559095,0.24003886599551605,3.373632863233939e-07,24.227482980759675
8,2019-08-26,avg_tt,-6.06871647874945,27.44125480437124,-0.27168853859163583,6.6833489946707696e-09,1.0259878583881734
9,2019-08-26,thr_15min_pois,133.81108069716015,113.64330632636481,0.25621504790678384,4.8536209505267186e-08,24.09410921915512
10,2019-02-25,avg_tt,-6.215825892011681,27.595159777676113,-0.2756210554639677,3.956428187581094e-09,1.0346606639539366
11,2019-02-25,thr_15min_pois,131.14199012692617,116.60662556453633,0.24324548510698915,2.3218048325707724e-07,24.958626243002094
12,2019-03-11,avg_tt,-5.628564921608386,27.229650913396846,-0.253733751045345,6.592422721658187e-08,1.0240867301019116
13,2019-03-11,thr_15min_pois,110.86604093397467,122.19123410576793,0.2074060620494026,1.128287619410027e-05,24.957258784550756
14,2019-10-07,avg_tt,-6.190891299608804,27.542792589458962,-0.27781744010238085,2.9413800254494755e-09,1.0216904103892335
15,2019-10-07,thr_15min_pois,135.07934516021936,112.73286054317501,0.25879750409189095,3.5170592583943865e-08,24.062623508622003
16,2019-02-11,avg_tt,-6.163155726569209,27.580687352312932,-0.2734403066493347,5.296823253752445e-09,1.034744902025297
17,2019-02-11,thr_15min_pois,127.25801060801255,117.8028504450658,0.23556216336559083,5.634390075713079e-07,25.058249150930454
18,2019-10-28,avg_tt,-6.078160423527437,27.40777773920105,-0.2673523652085666,1.179963791827634e-08,1.0455676400709122
19,2019-10-28,thr_15min_pois,129.76862387361422,115.9711685032639,0.24868782726823702,1.21669033535226e-07,24.12237489706247
20,2019-06-03,avg_tt,-5.785042901965197,27.292157669953312,-0.25800858771852586,3.88217191170691e-08,1.0339068309800024
21,2019-06-03,thr_15min_pois,128.56224300483117,116.44053500764394,0.24407807187517838,2.105326245682507e-07,24.378933706368375
22,2019-09-09,avg_tt,2.202760837447077,14.078760029339238,0.09849539706311797,0.038681171340722895,1.0621900923365355
23,2019-09-09,thr_15min_pois,-116.39678887339305,757.699002217936,-0.07411833095871703,0.12013535043827443,74.74582077535702
24,2019-08-05,avg_tt,-5.749612569419158,27.24977649616577,-0.2603436549431234,2.895342466182612e-08,1.017697732331012
25,2019-08-05,thr_15min_pois,136.79716496893207,115.39628640380911,0.2543397667122792,6.119216897307155e-08,24.82610883823894
26,2019-09-02,avg_tt,-6.0073840773484966,27.5349854472743,-0.27234868581056604,6.1238568071517546e-09,1.012960677910268
27,2019-09-02,thr_15min_pois,125.6935569247437,116.09403158829996,0.24622295917511836,1.6334470408197817e-07,23.614107514921056
28,2019-04-22,avg_tt,-2.455979322313014,20.42475496113264,-0.09568112939303249,0.04462093747703138,1.2194641591778863
29,2019-04-22,thr_15min_pois,162.57678972275312,274.1651499079312,0.14533617830454004,0.002215896996073044,52.822225798001924
30,2019-05-27,avg_tt,-5.830721883495817,27.30379871188806,-0.26300959124265866,2.0641945221310803e-08,1.0208283499690363
31,2019-05-27,thr_15min_pois,128.4352862263074,116.46021078710038,0.24373752089020012,2.1914132337219853e-07,24.39104196554768
32,2019-06-24,avg_tt,0.6589204702117236,15.598294799457403,0.03343969056559373,0.4836548401184969,0.9399300551630702
33,2019-06-24,thr_15min_pois,9.716189113786228,612.6845804188167,0.006136971577153579,0.8977439289193598,75.56164581692508
34,2019-12-30,avg_tt,-6.232360004111683,27.608472781418424,-0.27560249182939445,3.9663098886898645e-09,1.0374884849215695
35,2019-12-30,thr_15min_pois,132.17209307464086,115.02762691461224,0.24903042615244955,1.1675936255248485e-07,24.533119560292683
36,2019-01-07,avg_tt,-6.10484497215986,27.555600128680496,-0.27268228733936073,5.858666655526126e-09,1.0280341306244816
37,2019-01-07,thr_15min_pois,123.07629199960154,119.44854869287092,0.2298682687163804,1.0661474287575045e-06,24.869950774399353
38,2019-07-01,avg_tt,-5.821894829434386,27.329368525138793,-0.25977818814194326,3.1092791763146386e-08,1.032897898104347
39,2019-07-01,thr_15min_pois,129.21404587438613,115.6699518258631,0.24632236375089658,1.6142556433479203e-07,24.265074543008367
40,2019-09-23,avg_tt,-6.190348912432374,27.542554730497432,-0.27779627981930544,2.949829993492501e-09,1.0216852251045376
41,2019-09-23,thr_15min_pois,134.98287959438989,112.81565004091424,0.25858757658925585,3.6108359479773265e-08,24.06636074285625
42,2019-11-25,avg_tt,-6.04136520002911,27.419180163959258,-0.2696691723337524,8.719842685629599e-09,1.0296191967386377
43,2019-11-25,thr_15min_pois,129.37071784288898,116.22621731719967,0.24763920405846168,1.3796503756715752e-07,24.156939600325003
